1, 0.5093,
1, 0.417,
1, 0.4185,
1, 0.6747,
1, 0.628,
1, 0.4541,
1, 0.415,
1, 0.7058,
1, 0.7238,
1, 0.6049,
2, 0.6349,
2, 0.4669,
2, 0.6205,
2, 0.6163,
2, 0.5231,
2, 0.4456,
2, 0.372,
2, 0.8286,
2, 0.4097,
2, 0.4236,
3, 0.4159,
3, 0.2978,
3, 0.397,
3, 0.4939,
3, 0.44,
3, 0.2351,
3, 0.4346,
3, 0.4329,
3, 0.4396,
3, 0.2455,
4, 0.2656,
4, 0.5598,
4, 0.2147,
4, 0.3468,
4, 0.2379,
4, 0.4584,
4, 0.4233,
4, 0.1539,
4, 0.2894,
4, 0.3238,
5, 0.2411,
5, 0.2889,
5, 0.4572,
5, 0.3075,
5, 0.2586,
5, 0.2765,
5, 0.218,
5, 0.4339,
5, 0.2711,
5, 0.4187,
6, 0.2471,
6, 0.3747,
6, 0.237,
6, 0.3563,
6, 0.3203,
6, 0.1461,
6, 0.1507,
6, 0.1384,
6, 0.2376,
6, 0.1982,
7, 0.1432,
7, 0.2277,
7, 0.1797,
7, 0.1895,
7, 0.2565,
7, 0.1288,
7, 0.2424,
7, 0.099,
7, 0.2432,
7, 0.2771,
8, 0.2689,
8, 0.1855,
8, 0.1988,
8, 0.263,
8, 0.2024,
8, 0.1899,
8, 0.1657,
8, 0.2935,
8, 0.3054,
8, 0.1631,
9, 0.1993,
9, 0.1202,
9, 0.2026,
9, 0.2076,
9, 0.179,
9, 0.1271,
9, 0.2709,
9, 0.1247,
9, 0.179,
9, 0.122,
10, 0.1944,
10, 0.1191,
10, 0.14,
10, 0.1807,
10, 0.2635,
10, 0.3115,
10, 0.0654,
10, 0.2443,
10, 0.2182,
10, 0.1602,
11, 0.148,
11, 0.1353,
11, 0.1642,
11, 0.2284,
11, 0.1623,
11, 0.1958,
11, 0.2543,
11, 0.1925,
11, 0.1734,
11, 0.1092,
12, 0.2399,
12, 0.1409,
12, 0.1905,
12, 0.2476,
12, 0.2418,
12, 0.2138,
12, 0.2814,
12, 0.2365,
12, 0.2526,
12, 0.1538,
13, 0.1703,
13, 0.2352,
13, 0.135,
13, 0.1655,
13, 0.1207,
13, 0.169,
13, 0.2663,
13, 0.1788,
13, 0.2086,
13, 0.1633,
14, 0.1785,
14, 0.2536,
14, 0.3361,
14, 0.2647,
14, 0.2862,
14, 0.1737,
14, 0.2774,
14, 0.1039,
14, 0.1851,
14, 0.2152,
15, 0.2415,
15, 0.1589,
15, 0.1491,
15, 0.1551,
15, 0.2182,
15, 0.1491,
15, 0.3034,
15, 0.1813,
15, 0.1842,
15, 0.242,
16, 0.2072,
16, 0.2483,
16, 0.1418,
16, 0.1763,
16, 0.1681,
16, 0.3045,
16, 0.0949,
16, 0.0961,
16, 0.3773,
16, 0.1631,
17, 0.2343,
17, 0.1921,
17, 0.137,
17, 0.2509,
17, 0.3115,
17, 0.1685,
17, 0.1527,
17, 0.1968,
17, 0.3123,
17, 0.2049,
18, 0.1404,
18, 0.119,
18, 0.2295,
18, 0.1138,
18, 0.2472,
18, 0.1712,
18, 0.1759,
18, 0.2952,
18, 0.1836,
18, 0.2151,
19, 0.2623,
19, 0.1534,
19, 0.2121,
19, 0.2825,
19, 0.2171,
19, 0.2616,
19, 0.1845,
19, 0.1256,
19, 0.1901,
19, 0.1993,
20, 0.3117,
20, 0.0705,
20, 0.2827,
20, 0.1532,
20, 0.1946,
20, 0.1985,
20, 0.205,
20, 0.2252,
20, 0.1799,
20, 0.0808,
