0.0, 0.365,
0.0, 0.523,
0.0, 0.372,
0.0, 0.341,
0.0, 0.559,
0.0, 0.342,
0.0, 0.293,
0.0, 0.406,
0.0, 0.343,
0.0, 0.572,
0.05, 0.537,
0.05, 0.509,
0.05, 0.326,
0.05, 0.367,
0.05, 0.568,
0.05, 0.592,
0.05, 0.359,
0.05, 0.374,
0.05, 0.627,
0.05, 0.228,
0.1, 0.352,
0.1, 0.315,
0.1, 0.258,
0.1, 0.573,
0.1, 0.461,
0.1, 0.456,
0.1, 0.363,
0.1, 0.417,
0.1, 0.221,
0.1, 0.289,
0.15000000000000002, 0.235,
0.15000000000000002, 0.774,
0.15000000000000002, 0.423,
0.15000000000000002, 0.457,
0.15000000000000002, 0.549,
0.15000000000000002, 0.557,
0.15000000000000002, 0.475,
0.15000000000000002, 0.434,
0.15000000000000002, 0.49,
0.15000000000000002, 0.376,
0.2, 0.222,
0.2, 0.211,
0.2, 0.229,
0.2, 0.397,
0.2, 0.554,
0.2, 0.466,
0.2, 0.311,
0.2, 0.263,
0.2, 0.353,
0.2, 0.149,
0.25, 0.304,
0.25, 0.659,
0.25, 0.599,
0.25, 0.308,
0.25, 0.338,
0.25, 0.42,
0.25, 0.478,
0.25, 0.412,
0.25, 0.288,
0.25, 0.347,
0.30000000000000004, 0.257,
0.30000000000000004, 0.278,
0.30000000000000004, 0.207,
0.30000000000000004, 0.295,
0.30000000000000004, 0.495,
0.30000000000000004, 0.504,
0.30000000000000004, 0.218,
0.30000000000000004, 0.229,
0.30000000000000004, 0.481,
0.30000000000000004, 0.207,
0.35000000000000003, 0.635,
0.35000000000000003, 0.173,
0.35000000000000003, 0.467,
0.35000000000000003, 0.422,
0.35000000000000003, 0.219,
0.35000000000000003, 0.526,
0.35000000000000003, 0.306,
0.35000000000000003, 0.368,
0.35000000000000003, 0.292,
0.35000000000000003, 0.329,
0.4, 0.208,
0.4, 0.2,
0.4, 0.256,
0.4, 0.151,
0.4, 0.29,
0.4, 0.278,
0.4, 0.231,
0.4, 0.353,
0.4, 0.134,
0.4, 0.127,
0.45, 0.277,
0.45, 0.558,
0.45, 0.192,
0.45, 0.452,
0.45, 0.208,
0.45, 0.229,
0.45, 0.183,
0.45, 0.142,
0.45, 0.225,
0.45, 0.374,
0.5, 0.245,
0.5, 0.326,
0.5, 0.167,
0.5, 0.126,
0.5, 0.168,
0.5, 0.242,
0.5, 0.098,
0.5, 0.129,
0.5, 0.128,
0.5, 0.167,
0.55, 0.202,
0.55, 0.555,
0.55, 0.222,
0.55, 0.126,
0.55, 0.264,
0.55, 0.259,
0.55, 0.211,
0.55, 0.338,
0.55, 0.358,
0.55, 0.147,
0.6000000000000001, 0.572,
0.6000000000000001, 0.196,
0.6000000000000001, 0.209,
0.6000000000000001, 0.155,
0.6000000000000001, 0.209,
0.6000000000000001, 0.163,
0.6000000000000001, 0.08,
0.6000000000000001, 0.152,
0.6000000000000001, 0.17,
0.6000000000000001, 0.144,
0.65, 0.097,
0.65, 0.077,
0.65, 0.071,
0.65, 0.182,
0.65, 0.16,
0.65, 0.195,
0.65, 0.132,
0.65, 0.14,
0.65, 0.127,
0.65, 0.24,
0.7000000000000001, 0.081,
0.7000000000000001, 0.197,
0.7000000000000001, 0.117,
0.7000000000000001, 0.088,
0.7000000000000001, 0.178,
0.7000000000000001, 0.302,
0.7000000000000001, 0.258,
0.7000000000000001, 0.157,
0.7000000000000001, 0.482,
0.7000000000000001, 0.037,
0.75, 0.127,
0.75, 0.057,
0.75, 0.558,
0.75, 0.194,
0.75, 0.055,
0.75, 0.21,
0.75, 0.466,
0.75, 0.48,
0.75, 0.249,
0.75, 0.065,
0.8, 0.015,
0.8, 0.2,
0.8, 0.041,
0.8, 0.124,
0.8, 0.074,
0.8, 0.342,
0.8, 0.045,
0.8, 0.188,
0.8, 0.246,
0.8, 0.074,
0.8500000000000001, 0.106,
0.8500000000000001, 0.511,
0.8500000000000001, 0.114,
0.8500000000000001, 0.06,
0.8500000000000001, 0.393,
0.8500000000000001, 0.082,
0.8500000000000001, 0.187,
0.8500000000000001, 0.065,
0.8500000000000001, 0.319,
0.8500000000000001, 0.127,
0.9, 0.028,
0.9, 0.08,
0.9, 0.021,
0.9, 0.37,
0.9, 0.331,
0.9, 0.178,
0.9, 0.212,
0.9, 0.04,
0.9, 0.413,
0.9, 0.376,
0.9500000000000001, 0.164,
0.9500000000000001, 0.221,
0.9500000000000001, 0.093,
0.9500000000000001, 0.17,
0.9500000000000001, 0.267,
0.9500000000000001, 0.238,
0.9500000000000001, 0.142,
0.9500000000000001, 0.121,
0.9500000000000001, 0.151,
0.9500000000000001, 0.271,
1.0, 0.227,
1.0, 0.066,
1.0, 0.12,
1.0, 0.205,
1.0, 0.175,
1.0, 0.127,
1.0, 0.178,
1.0, 0.153,
1.0, 0.051,
1.0, 0.052,
